delay,send_time,receive_time,data_length
0.015,1715860437.455,1715860437.470,1000
0.018,1715860438.488,1715860438.506,1000
0.019,1715860439.526,1715860439.545,1000
1.049,1715860440.567,1715860441.616,1000
0.020,1715860442.647,1715860442.667,1000
0.018,1715860443.690,1715860443.708,1000
0.017,1715860444.739,1715860444.756,1000
0.019,1715860445.777,1715860445.796,1000
0.018,1715860447.070,1715860447.088,1000
0.019,1715860448.107,1715860448.126,1000
1.031,1715860449.149,1715860450.180,1000
0.016,1715860451.199,1715860451.215,1000
0.018,1715860452.235,1715860452.253,1000
0.020,1715860453.272,1715860453.292,1000
1.024,1715860454.313,1715860455.337,1000
0.016,1715860456.356,1715860456.372,1000
0.020,1715860457.406,1715860457.426,1000
0.020,1715860458.446,1715860458.466,1000
1.034,1715860459.485,1715860460.519,1000
0.018,1715860461.581,1715860461.599,1000
1.032,1715860462.623,1715860463.655,1000
0.017,1715860464.904,1715860464.921,1000
1.042,1715860466.166,1715860467.208,1000
0.032,1715860468.230,1715860468.262,1000
0.025,1715860469.282,1715860469.307,1000
0.018,1715860470.327,1715860470.345,1000
0.016,1715860471.376,1715860471.392,1000
0.027,1715860472.411,1715860472.438,1000
0.017,1715860473.467,1715860473.484,1000
0.016,1715860474.506,1715860474.522,1000
0.904,1715860475.541,1715860476.445,1000
0.018,1715860477.475,1715860477.493,1000
0.017,1715860478.518,1715860478.535,1000
1.047,1715860479.556,1715860480.603,1000
0.020,1715860481.622,1715860481.642,1000
0.020,1715860482.661,1715860482.681,1000
0.032,1715860483.702,1715860483.734,1000
0.020,1715860484.757,1715860484.777,1000
0.040,1715860485.814,1715860485.854,1000
1.039,1715860486.874,1715860487.913,1000
0.023,1715860488.946,1715860488.969,1000
0.017,1715860489.995,1715860490.012,1000
0.016,1715860491.253,1715860491.269,1000
0.023,1715860492.292,1715860492.315,1000
1.034,1715860493.336,1715860494.370,1000
0.027,1715860495.391,1715860495.418,1000
0.019,1715860496.439,1715860496.458,1000
0.023,1715860497.478,1715860497.501,1000
0.018,1715860498.757,1715860498.775,1000
0.018,1715860499.794,1715860499.812,1000
0.019,1715860501.267,1715860501.286,1000
0.018,1715860502.307,1715860502.325,1000
0.019,1715860503.345,1715860503.364,1000
1.034,1715860504.410,1715860505.444,1000
0.018,1715860506.487,1715860506.505,1000
0.021,1715860507.524,1715860507.545,1000
1.036,1715860508.791,1715860509.827,1000
0.017,1715860510.847,1715860510.864,1000
1.052,1715860511.884,1715860512.936,1000
0.021,1715860513.967,1715860513.988,1000
0.017,1715860515.025,1715860515.042,1000
0.018,1715860516.065,1715860516.083,1000
0.040,1715860517.346,1715860517.386,1000
0.018,1715860518.418,1715860518.436,1000
0.025,1715860519.683,1715860519.708,1000
0.023,1715860520.727,1715860520.750,1000
0.058,1715860521.770,1715860521.828,1000
0.019,1715860522.850,1715860522.869,1000
2.066,1715860523.889,1715860525.955,1000
1.028,1715860526.976,1715860528.004,1000
0.018,1715860529.024,1715860529.042,1000
0.017,1715860530.061,1715860530.078,1000
0.022,1715860531.098,1715860531.120,1000
0.018,1715860532.142,1715860532.160,1000
0.025,1715860533.179,1715860533.204,1000
0.016,1715860534.230,1715860534.246,1000
0.012,1715860535.490,1715860535.502,1000
0.019,1715860536.522,1715860536.541,1000
0.017,1715860537.570,1715860537.587,1000
0.016,1715860538.622,1715860538.638,1000
1.048,1715860539.659,1715860540.707,1000
0.019,1715860541.727,1715860541.746,1000
0.041,1715860542.768,1715860542.809,1000
0.020,1715860543.830,1715860543.850,1000
0.022,1715860544.869,1715860544.891,1000
0.020,1715860545.912,1715860545.932,1000
0.035,1715860546.971,1715860547.006,1000
0.023,1715860548.029,1715860548.052,1000
0.018,1715860549.071,1715860549.089,1000
6.730,1715860550.335,1715860557.065,1000
0.029,1715860558.086,1715860558.115,1000
0.020,1715860559.135,1715860559.155,1000
0.023,1715860560.175,1715860560.198,1000
0.037,1715860561.217,1715860561.254,1000
1.026,1715860562.274,1715860563.300,1000
0.019,1715860564.321,1715860564.340,1000
0.017,1715860565.579,1715860565.596,1000
1.039,1715860566.616,1715860567.655,1000
0.019,1715860568.675,1715860568.694,1000
0.016,1715860569.714,1715860569.730,1000
0.041,1715860570.749,1715860570.790,1000
0.020,1715860571.810,1715860571.830,1000
1.042,1715860572.850,1715860573.892,1000
0.016,1715860574.914,1715860574.930,1000
1.396,1715860575.956,1715860577.352,1000
0.030,1715860579.256,1715860579.286,1000
1.022,1715860580.550,1715860581.572,1000
0.028,1715860582.594,1715860582.622,1000
0.017,1715860583.642,1715860583.659,1000
1.023,1715860584.679,1715860585.702,1000
0.017,1715860586.727,1715860586.744,1000
0.022,1715860588.005,1715860588.027,1000
0.019,1715860589.048,1715860589.067,1000
0.017,1715860590.087,1715860590.104,1000
0.018,1715860591.124,1715860591.142,1000
0.025,1715860592.163,1715860592.188,1000
0.017,1715860593.207,1715860593.224,1000
0.017,1715860594.255,1715860594.272,1000
0.026,1715860595.292,1715860595.318,1000
0.020,1715860596.351,1715860596.371,1000
0.018,1715860597.391,1715860597.409,1000
0.017,1715860598.443,1715860598.460,1000
0.021,1715860599.480,1715860599.501,1000
0.017,1715860600.520,1715860600.537,1000
0.019,1715860601.557,1715860601.576,1000
6.691,1715860602.597,1715860609.288,1000
0.016,1715860610.310,1715860610.326,1000
1.042,1715860611.346,1715860612.388,1000
0.018,1715860613.408,1715860613.426,1000
0.036,1715860614.447,1715860614.483,1000
2.188,1715860615.504,1715860617.692,1000
0.017,1715860619.128,1715860619.145,1000
0.020,1715860620.395,1715860620.415,1000
0.020,1715860621.434,1715860621.454,1000
0.020,1715860622.474,1715860622.494,1000
0.020,1715860623.514,1715860623.534,1000
0.018,1715860624.555,1715860624.573,1000
0.021,1715860625.594,1715860625.615,1000
0.022,1715860626.653,1715860626.675,1000
0.021,1715860627.694,1715860627.715,1000
0.046,1715860628.735,1715860628.781,1000
1.020,1715860629.800,1715860630.820,1000
1.028,1715860631.843,1715860632.871,1000
0.017,1715860633.890,1715860633.907,1000
1.046,1715860634.927,1715860635.973,1000
0.030,1715860636.994,1715860637.024,1000
2.375,1715860638.044,1715860640.419,1000
0.017,1715860641.439,1715860641.456,1000
1.685,1715860642.476,1715860644.161,1000
1.031,1715860645.180,1715860646.211,1000
0.018,1715860647.232,1715860647.250,1000
1.876,1715860648.268,1715860650.144,1000
0.024,1715860651.165,1715860651.189,1000
